Month,electricity_consumption_GWh,HYDRO,Thermal,WIND,GEOTHERMAL,BAGASSE_BIOGAS,IMPORTS,SOLAR,Total,DC_1_Lifeline_0_30_per_kWh,DC_2_Ordinary_30_100_per_kWh,DC_3_Ordinary_100_15000_per_kWh,Small_Commercial_1_0_30_per_kWh,Small_Commercial_2_30per_kWh_100per_kWh,Small_Commercial_3_100per_kWh_1500per_kWh,SC3_Bulk_Supply_1000per_kWh_1500per_kWh,"Commercial_Industrial_1___415_V_>_15,000_per_kWh","Commercial_Industrial_2___11,000_V","Commercial_Industrial_3___33,000_V","Commercial_Industrial_4___66,000_V","Commercial_Industrial_5___132,000_V","Commercial_Industrial_6___220,000_V",Commercial_Industrial_7_SEZs,E_Mobility,Street_Lighting,Number_of_new_customers,Cummulative_Connections,400 kV Ketraco,220kv Ketraco & KenGen links,132kv Ketraco,Kplc,220 kV,132 kV,66 kV,33 kV,11 kV,Total HV and MV,415/240V or 433/250V,TOTAL,Renewable_Generation,Year,Month_num,Renewable_Share_%
2019-07-01,748.2366788700001,268.911306152,133.4035895500001,124.89111300000002,440.296882,0.015538,17.167435,7.093813399999995,991.7796771020002,16.746532000000002,16.746532,23.764532,16.746532,23.522531999999998,,,21.68244311111111,18.496897714285716,18.560629674418603,17.85386533333333,17.176716615384617,,,,13.721532000000002,51685.0,7140389.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,841.2086525520001,2019,7,85.0
2019-08-01,749.91488288,251.48017378799997,131.76414300000008,151.42539,425.46156099999996,0.032577,24.050815,7.44196240000001,991.6566221879998,16.865476,16.865475999999997,23.883476,16.865475999999997,23.641476,,,21.80138711111111,18.615841714285715,18.679573674418602,17.972809333333334,17.295660615384616,,,,13.840475999999999,44145.0,7183311.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,835.8416641879999,2019,8,84.0
2019-09-01,740.4895189400002,233.79550912400003,104.74042399999996,152.90575900000002,453.93344800000006,0.031067,11.356835,7.932895000000003,964.6959371240002,16.684676000000003,16.684676,23.702676,16.684676,23.460676,,,21.620587111111114,18.435041714285713,18.498773674418604,17.792009333333333,17.114860615384615,,,,13.659676000000001,38045.0,7205121.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,848.5986781240001,2019,9,88.0
2019-10-01,754.3439396300005,268.3989934399999,69.47794900000007,137.42272400000004,493.560628,0.037012,12.584515000000001,8.085146199999993,989.5669676399999,16.464736000000002,16.464736000000002,23.482736,16.464736000000002,23.240736,,,21.400647111111113,18.215101714285716,18.278833674418607,17.57206933333333,16.894920615384617,,,,13.439735999999998,48889.0,7263265.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,907.5045036399998,2019,10,92.0
2019-11-01,763.25530433,299.189625928,62.44026987999991,114.03445499999998,481.901914,0.022658,18.37374,7.8473985999999964,983.8100614079999,16.080272,16.080272,23.098272,16.080272,22.856272,,,21.01618311111111,17.830637714285714,17.894369674418606,17.187605333333334,16.510456615384616,,,,13.055272,39715.0,7297028.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,902.996051528,2019,11,92.0
2019-12-01,712.0957147899999,360.8781616080001,62.144775900000006,45.57326000000005,464.1440840000001,0.049506,14.17825,7.605524266666669,954.5735617746668,15.554472000000004,15.554472,22.572472,15.554472,22.330472,,,20.49038311111111,17.304837714285718,17.368569674418605,16.661805333333334,15.984656615384617,,,,12.529472,21260.0,7322288.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,878.2505358746668,2019,12,92.0
2020-01-01,773.9679399099996,357.68808773999996,54.45905079999999,89.696862,476.595777,0.008061,10.92077,7.6356302000000005,997.00423874,15.386312,15.386312,22.404312,15.386312,22.162312,,,20.32222311111111,17.136677714285714,17.200409674418605,16.493645333333333,15.816496615384617,,,,12.361312,19377.0,7339857.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,931.62441794,2020,1,93.0
2020-02-01,741.7248455079207,341.94350830800005,53.76979900000004,100.15740599999997,430.7311220000001,0.017115,10.616135,6.978441000000006,944.213526308,15.365576,15.365575999999999,22.383575999999998,15.365575999999999,22.141576,,,20.30148711111111,17.115941714285714,17.179673674418606,16.472909333333334,15.795760615384616,,,,12.340576,48961.0,7390432.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,879.827592308,2020,2,93.0
2020-03-01,763.7422759641704,359.1139319680001,55.59510499999994,85.88391900000005,460.26928899999996,0.018294,11.27414,7.839612399999993,979.994291368,15.242816,15.242816,22.260816,15.242816,22.018816,,,20.17872711111111,16.993181714285715,17.056913674418606,16.350149333333334,15.673000615384616,,,,12.217816000000001,57052.0,7446878.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,913.125046368,2020,3,93.0
2020-04-01,646.5888340475303,297.6319015480001,35.67728469999996,88.03389100000003,411.756355,0.04,9.001069999999991,7.7821740000000075,849.9226762480001,15.389384000000003,15.389384,22.291383999999997,15.389384,22.053384,,,20.241917333333333,17.110346857142858,17.172635162790698,16.477884,15.812237846153845,,,,12.414384,37973.0,7484301.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,805.2443215480001,2020,4,95.0
